Tweet,Sentiment Score,Subjectivity Score
Somebody help No boot device available on toshiba laptop Please help No csm either Did I just destroy it,0.15,0.2
RT wow What a disgusting and illuminating comment Looking for items she had asked her father to save for her she came,-0.45,1.0
The news of Asus ROG Phone 2 to ship with a 120Hz display is great news for smartphone lovers asus samsung,0.8,0.75
wow What a disgusting and illuminating comment Looking for items she had asked her father to save for her she,-0.45,1.0
BEST DEAL 2015 Newest Toshiba Satellite 11 6 Inch Laptop 11 6 Inch affordable gaming laptop game laptop lapt,0.3,0.35
BEST DEAL 2015 Newest Toshiba Satellite 11 6 Inch Laptop 11 6 Inch affordable gaming laptop game laptop lapt,0.3,0.35
Xbox 360 headset usb on your 2009 windows 7 toshiba laptop,0.0,0.0
Yes You can get this Toshiba satellite core i3 Touchscreen laptop below 75k Dm for price Serious buyer only,-0.3333333333333333,0.6666666666666666
fuck capitalism im tweeting from my 2004 toshiba laptop,-0.4,0.6
I asked my boyfriend about this and he said that you would ideally need to raise around 600 to get a go,0.9,1.0
I went from a bloody 5 year old toshiba laptop so even 59 just felt smooth as fuck 144 is whaaaaat,-0.17500000000000002,0.55
I got a Toshiba a laptop you could LABEL the show now,0.0,0.0
Xp Toshiba laptop Obama phone Windows low so I can hear other people s music,-0.0625,0.3375
Lenovo ships first 4K laptop challenging Toshiba,0.375,0.6666666666666666
I was just looking to replace my NINE YEAR old laptop amp I was so sorry to see that Toshiba is no longer m,-0.2,0.6
RT All the De10Nano cards will connect to a USB hub and will then be managed from an old Toshiba laptop running t,0.1,0.2
Wondering if pop os can work on a 6 year old refurbished Toshiba laptop any thoughts,0.1,0.2
RT All the De10Nano cards will connect to a USB hub and will then be managed from an old Toshiba laptop running t,0.1,0.2
RT All the De10Nano cards will connect to a USB hub and will then be managed from an old Toshiba laptop running t,0.1,0.2
All the De10Nano cards will connect to a USB hub and will then be managed from an old Toshiba laptop running,0.1,0.2
TOSHIBA 250GB 2 5 Sata Laptop Hard Drive HDD MK2552GSX Tested Good Best Seller 9 49,0.4694444444444444,0.48055555555555557
TOSHIBA 250GB 2 5 Sata Laptop Hard Drive HDD MK2552GSX Tested Good Best Ever 9 49 laptophdd 250gbhdd hdd250gb,0.4694444444444444,0.48055555555555557
TOSHIBA 250GB 2 5 Sata Laptop Hard Drive HDD MK2552GSX Tested Good Buy now 9 49 laptophdd 250gbhdd hdd250gb,0.29166666666666663,0.5708333333333333
TOSHIBA 250GB 2 5 Sata Laptop Hard Drive HDD MK2552GSX Tested Good Best Seller 9 49 laptophdd 250gbhdd,0.4694444444444444,0.48055555555555557
Laptop Brand Toshiba Series Satellite S55t B Processor Intel Core i7 Speed 2 6ghz Screen 15 6 RAM 8gb Hard D,-0.2916666666666667,0.5416666666666666
My first one Toshiba T 3100e 1989 Laptop during my Senior year at University Never owned any deskt,0.25,0.3333333333333333
its Africa anything can happen my Toshiba laptop charger melted too,0.0,0.0
I don t know the model but if you need a quickfix you can just order this and try out the screws,0.0,0.0
Here it is 20 yrs in 2010 Toshiba min laptop RAM 1 gb HDD 320 gb Processor Intel atom with 1 G,0.0,0.0
A lot of you had it hard Can I just add that one thing my family helped with house hold wise when I moved across t,0.20416666666666664,0.7208333333333333
I am so proud of my Toshiba laptop in one regard I can accidentally pull out the power cable and not notice until,0.8,1.0
de Toshiba It hooked up to the television,0.0,0.0
I knew this game was to good to be true Gamepasses suck amp don t load Won t launch on my burner device Toshiba Laptop Windows Vista,0.21666666666666665,0.5499999999999999
Toshiba Satellite C855D S5105 15 6in 320GB 1 3GHz 4GB Notebook Laptop Price 150,0.0,0.0
Toshiba Satellite C855D S5303 AMD E 300 APU 4GB 320 GB 15 6 Laptop Black Price 129 99,-0.16666666666666666,0.43333333333333335
Toshiba Satellite NB15T A1302 11 6 Inch Touchscreen Laptop,0.0,0.0
BEST DEAL 2015 Newest Toshiba Satellite 11 6 Inch Laptop 11 6 Inch affordable gaming laptop game laptop lapt,0.3,0.35
