Tweet,Sentiment Score,Subjectivity Score
We promised you daily GIVEAWAYS and we re delivering Day 3 Stand a chance to be among the lucky participants,0.16666666666666666,0.4166666666666667
GIVEAWAY ALERT This laptop is the perfect gift for a special high school grad who s heading off to,0.5057142857142857,0.7038095238095238
OLED laptops are an idea whose time has come,0.0,0.0
minionmovie SMEUK minionbanana Fancy Minions Vinyl Skin For Macbook Air Retina Pro HP Dell Asus Lenovo Laptop,0.0,0.0
RT Pristine Clean UK USED HP 14 laptop is currently available Intel Core i3 2 20Ghz Processor 500gb HDD 8gb RAM 14 i,0.38333333333333336,0.55
RT Pristine Clean UK USED HP 15 laptop is currently available Intel Celeron 2 10Ghz Processor 500GB HDD 4GB RAM 15 i,0.38333333333333336,0.55
RT Stupidity is when you have a HP laptop and use apple sticker to cover the back,-0.3,0.5
RT HP Elitebook Folio 9470m Laptop Motherboard 717843 001 i5 3437u NO MEM,0.0,0.0
My current lineup iphone 7 shit hp elitebook laptop not shit custom built desktop thats it,-0.03333333333333333,0.6666666666666666
RT Stupidity is when you have a HP laptop and use apple sticker to cover the back,-0.3,0.5
RT HP Elitebook Folio 9470m Laptop Motherboard 717843 001 i5 3437u NO MEM,0.0,0.0
RT HP Elitebook Folio 9470m Laptop Motherboard 717843 001 i5 3437u NO MEM,0.0,0.0
Just went through my closet anyone wanna cop any of this Xbox one Scuf Xbox 360 HP Laptop Astro a40 TR Keyboard A,0.0,0.0
HP Elitebook Folio 9470m Laptop Motherboard 717843 001 i5 3437u NO MEM,0.0,0.0
RT Stupidity is when you have a HP laptop and use apple sticker to cover the back,-0.3,0.5
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
Trying to win this sweet gaming laptop from Check it out giveaway win,0.61875,0.525
I am really sorry to say this but buying an HP laptop was one of my worst decisions ever It has been 9 months,-0.75,1.0
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
I needed to repair my laptop so I went through the HP website in order to find the service centre detail,0.0,0.0
HP ENVY 17t Whiskey Lake i7 Quad 17 Laptop w 512GB SSD for 1 000 free shipping,0.4,0.8
Mid 2011 hp laptop checking in,0.0,0.0
Stupidity is when you have a HP laptop and use apple sticker to cover the back,-0.3,0.5
RT Pristine Clean UK USED HP 14 laptop is currently available Intel Core i3 2 20Ghz Processor 500gb HDD 8gb RAM 14 i,0.38333333333333336,0.55
RT Pristine Clean UK USED HP 15 laptop is currently available Intel Celeron 2 10Ghz Processor 500GB HDD 4GB RAM 15 i,0.38333333333333336,0.55
HP 15t 5HH94AV 1 15 6 Laptop with 8th Gen Core i7 8GB RAM 128GB SSD 489 99,0.0,0.0
So has Sent me a defective laptop Told me they d call back within 24 hours of reporting the issue at my prefer,0.0,0.0
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
RT We promised you daily GIVEAWAYS and we re delivering Day 3 Stand a chance to be among the lucky participants to WIN,0.16666666666666666,0.4166666666666667
RT tope15 Hi I studied English Language School Kwara state university I m a freelance writer I use my pho,0.0,0.0
Is your school district using HP laptops Keep trck of them with this chalkboard laptop skin with district seal,0.0,0.0
HP 4th of July Killer Deals 780 OFF On AMD Vega Laptop For 519 NVIDIA GTX 1650 Laptop For 750 And More Wccf,0.625,0.5
RT tope15 Hi I studied English Language School Kwara state university I m a freelance writer I use my pho,0.0,0.0
RT OLED laptops are an idea whose time has come,0.0,0.0
RT tope15 Hi I studied English Language School Kwara state university I m a freelance writer I use my pho,0.0,0.0
x Tbf I use a HO pavilion but that s a cost of 900 due to the software I need But for cheap look at,0.1375,0.5375
how can i trace a stolen registered hp laptop,0.0,0.0
Just arrived Hp laptop with broken hinges repairam wefix gadgetrepair gadgetdoctors pickup repair deliver,-0.4,0.4
RT ALI SON I just need an AKAI MIDI KEYBOARD A New hp laptop and a Sound Card,0.2681818181818182,0.42727272727272725
HP Pavilion 12 x2 Review Best Budget Laptop with Premium Feel via,1.0,0.3
The news of Asus ROG Phone 2 to ship with a 120Hz display is great news for smartphone lovers asus samsung,0.8,0.75
HP 15 6 fhd touchscreen Laptop I5 8250U 1TB 12GB Camera,0.0,0.0
HP 14 stream Laptop Celeron N4000 64GB 4GB HD bluetooth,0.0,0.0
RT Ak Then stop telling them your laptop specs are Black HP,-0.16666666666666666,0.43333333333333335
Great article featuring outlining the new campaign and why behind the work So proud to be a part of,0.3340909090909091,0.7261363636363636
I just need an AKAI MIDI KEYBOARD A New hp laptop and a Sound Card,0.2681818181818182,0.42727272727272725
Please help me win this Sweet Gaming Laptop Contest by,0.61875,0.525
RT Ak Then stop telling them your laptop specs are Black HP,-0.16666666666666666,0.43333333333333335
RT Ak Then stop telling them your laptop specs are Black HP,-0.16666666666666666,0.43333333333333335
Then stop telling them your laptop specs are Black HP,-0.16666666666666666,0.43333333333333335
RT Giveaway Time Win A HP Steam Laptop Fast entry here Ends Friday 23 8 19 freebiefriday giveaw,0.6,0.5
