Tweet,Sentiment Score,Subjectivity Score
This is the ThinkPad P53 and it s the reason your laptop is over there in the corner crying,-0.2,0.6
Lenovo s flexible ThinkPad X1 prototype is a bigger bendier screen that wants to replace your laptop,0.1,0.3
When you upgrade your parents 2006 Lenovo laptop to a new one you notice a slight size difference Nice work,0.1898989898989899,0.5404040404040403
Lenovo Premium ThinkPad T480 14 Inch Flagship Business Laptop via,0.0,0.0
I replaced my other laptop with a pixelbook I run docker vscode multiple Linux vms containers It,-0.0625,0.1875
Lenovo Ideapad 330 2019 Newest Premium 15 6 HD Laptop Computer Notebook via,0.0,0.0
RT khurana Like you customize a pizza you can now customize your laptop configuration from in,0.0,0.0
needrefundnow your technical team also said its hardware issue in new laptop in,0.06818181818181818,0.2772727272727273
Thanks for your responses to our last post Now we have a Laptop for you LENOVO X240 Intel Corei5 2,0.1,0.13333333333333333
A droolworthy laptop you ll want to take everywhere via,0.0,0.0
Technology Gadget Lenovo IdeaPad S940 14 inch Core i7 8565U 16 GB RAM 512 GB SSD Review A Drool Worthy Ul,0.0,0.0
Tumblr post Lenovo Chromebook C330 2in1 Laptop Quad Core HD IPS 11 6 inch 32GB SSD 4GB RAM Lenovo Chromebook C330,0.0,0.0
Tumblr post Lenovo Chromebook C330 2in1 Laptop Quad Core HD IPS 11 6 inch 32GB SSD 4GB,0.0,0.0
The news of Asus ROG Phone 2 to ship with a 120Hz display is great news for smartphone lovers asus samsung,0.8,0.75
Win a Lenovo IdeaPad S940 from Windows Central International Giveaway ContestAlert,0.26666666666666666,0.21666666666666667
Lenovo 4th of July sale ThinkPad X1 Yoga and Legion laptop deals,0.0,0.0
kindly replace this laptop this is a kind request Else throwing this will be the only option Laptop name Lenovo,0.39999999999999997,0.9333333333333332
Lenovo Laptop Incident 181027 001383 S N YD04AFLX Lencare ID C261118003 Not even a year has passed and this lap,0.0,0.0
ME Please stop making Lenovo Ideapad 330s If you,0.0,0.0
Lenovo ThinkPad E570 Laptop with Intel Core i5 7200U Processor 8GB DDR4 RAM 180GB SSD Black 15 6 Black 20H,-0.16666666666666666,0.43333333333333335
First please get my laptop fixed It s been only 15 days of service and issue reappeared,0.11666666666666665,0.5111111111111111
Hi That s not the kind of experience we want you to have and we apologize for the trouble We d like to,0.19999999999999998,0.55
Lenovo IdeaPad S940 14 inch 2019 review A droolworthy laptop you ll want to take everywhere CNET,0.0,0.0
A droolworthy laptop you ll want to take everywhere via,0.0,0.0
james fuller My reason was Unix on a laptop which can run InDesign Photoshop Moved 7 yrs ago to Thin,0.0,0.0
in I am not buying any Lenovo product from now on There was a hardware issue on a Laptop I bought yesterda,0.0,0.0
lenovo probably has the worst laptop ever,-1.0,1.0
Lenovo IdeaPad S940 14 inch 2019 review A droolworthy laptop you ll want to take everywhere CNET,0.0,0.0
Lenovo Legion Y740 perhaps it seems like a good spec I m getting a new laptop for uni as well so I m also looking for ideas,0.41818181818181815,0.5272727272727273
Lenovo IdeaPad S940 14 inch 2019 review A droolworthy laptop you ll want to take everywhere CNET,0.0,0.0
This is the ThinkPad P53 and it s the reason your laptop is over there in the corner crying,-0.2,0.6
This is the ThinkPad P53 and it s the reason your laptop is over there in the corner crying,-0.2,0.6
Hi Bibin Sorry about what happened Just to confirm is the laptop still not powering on after re,-0.5,1.0
Lenovo IdeaPad S940 14 inch 2019 review A droolworthy laptop you ll want to take everywhere CNET,0.0,0.0
Hi Zico Thanks for writing in If the laptop was purchased from a third party reseller then the replacem,0.1,0.1
FAST LENOVO X240 12 5 LAPTOP INTEL CORE i5 4300U 4GB DDR3 240GB SSD WINDOWS 10 Hurry Now 129 99,0.25,0.6
Lenovo Thinkpad X240 Core i5 4300U 8GB Ram 240GB SSD Windows 10 Webcam Laptop Check It Out 135 99,0.0,0.0
The ThinkPad T490 laptop with Core i7 8565U processor 16GB of RAM 1TB PCIe SSD 14 inch WQHD IPS,0.0,0.0
Lenovo Yoga 310 Laptop Tablet 11 6 Touchscreen 2 in 1 Intel Dual Core 4GB RAM Crazy Prices 179 99,-0.6,0.9
