Tweet,Sentiment Score,Subjectivity Score
NEW VIDEO A GREAT Gaming Laptop for 830 Acer Nitro 5 2019 Review,0.4681818181818182,0.6022727272727273
I have an acer laptop and it runs sims okay,0.5,0.5
Should have looked it up on your new Acer Predator laptop,0.13636363636363635,0.45454545454545453
India Your AN 515 51 Gaming Laptop is possibly the worst thing I have ever purchased Screenfreeze,-0.5,1.0
tv Acer Nitro 5 is supposed to be a pretty good budget gaming laptop specifically model AN515 54 51M5 830 usd,0.475,0.8
Acer s latest budget gaming laptop promises great performance for under a grand Read full Nitro5 review,0.5375,0.8
RT GAMING GEAR BUNDLE are setting the pace for July with this giveaway Laptop From Thunder Quantum,0.0,0.0
Acer Chromebook C720P 2625 11 6 Touchscreen Laptop 1 4GHz 4GB RAM 16GB SSD Price 49 89,0.0,0.0
RT GAMING GEAR BUNDLE are setting the pace for July with this giveaway Laptop From Thunder Quantum,0.0,0.0
The news of Asus ROG Phone 2 to ship with a 120Hz display is great news for smartphone lovers asus samsung,0.8,0.75
RT Acer Nitro 5 AN515 42 Ryzen 5 15 6 inch Gaming FHD Laptop 8GB 1TB HDD Windows 10 4GB Graphics at 48 990 00 Link h,0.0,0.0
RT GAMING GEAR BUNDLE are setting the pace for July with this giveaway Laptop From Thunder Quantum,0.0,0.0
Check Acer Aspire 1 Laptop A114 31 C3FW,0.0,0.0
I m only laptop Acer aspire e14 e5 475g 53hg 8gb ddr4 ram SSD 120GB for work station SSD 120GB for,0.0,1.0
Latest Acer Predator Triton 500 PT515 51 75L8 15 6 VR Ready Gaming Laptop Overview via,0.35,0.7
RT GAMING GEAR BUNDLE are setting the pace for July with this giveaway Laptop From Thunder Quantum,0.0,0.0
I use this for travel,0.0,0.0
RT Listen to Hot919 and you could stand a chance to win a brand new Acer Pro Series laptop valued at R20 000 The Acer Diamond,1.0,0.4
RT ChangeTheWorldWithAcer Tell us how you would use the ConceptD an Acer laptop to change the world for the better and yo,0.5,0.5
RT GAMING GEAR BUNDLE are setting the pace for July with this giveaway Laptop From Thunder Quantum,0.0,0.0
Acer Swift 7 Laptop Review 2019 Mostly Wonderful,1.0,1.0
RT GAMING GEAR BUNDLE are setting the pace for July with this giveaway Laptop From Thunder Quantum,0.0,0.0
RT GAMING GEAR BUNDLE are setting the pace for July with this giveaway Laptop From Thunder Quantum,0.0,0.0
RT GAMING GEAR BUNDLE are setting the pace for July with this giveaway Laptop From Thunder Quantum,0.0,0.0
Acer Predator 17 Gaming Laptop Core i7 GeForce GTX 1070 17 3 Full HD G SYNC 16GB DDR4 256,0.35,0.55
RT srl Synergy CS3600 2019Edition powered by srl IOS3D CS3600 P,0.0,0.0
Acer Aspire 5 2019 Laptop Full Specification,0.35,0.55
Acer Nitro 5 AN515 42 Ryzen 5 15 6 inch Gaming FHD Laptop 8GB 1TB HDD Windows 10 4GB Graphics at 48 990 00 L,0.0,0.0
Acer Aspire 3 Core i5 8th Gen 8 GB 1 TB HDD Windows 10 Home 2 GB Graphics A315 53G 5968 Laptop 15 6 inch Obs,0.0,0.0
Acer s Swift 7 is the thinnest laptop ever,0.0,0.0
This week only Free Shipping NEW Acer Nitro 5 17 3 Laptop Notebook,0.21212121212121213,0.7515151515151515
This ultimate gaming laptop is infused with the combined power and performance of a 9th Gen Intel Core i7 processor,0.0,1.0
