Tweet,Sentiment Score,Subjectivity Score
Dell s new XPS 15 with a 4K OLED screen is now available,0.2681818181818182,0.42727272727272725
Several major PC companies are warning that proposed tariffs could put pricing of some laptops entirely out of rea,0.020833333333333332,0.375
RT Walmart 4th of July sale 4K TV Nintendo Switch and laptop deals,0.0,0.0
Dell Latitude E6440 Intel i5 4300M 4GB RAM 96GB SSD Win 10 Home Webcam B Grade Price 246,0.8,0.4
I dropped my laptop in the ocean So now theres a dell rolling in the deep,0.0,0.4
wait a minute what did you say don t have as in I don t have a cold THATS IT GIVE TWITTE,-0.6,1.0
RT I found an old usb from when i was in like 8th 9th grade with a buncha songs i made Theyre much weirder than i remem,0.15000000000000002,0.2
If you see the battery LED flashing in a 2 7 pattern on your DellXPS or DellPrecision laptop update the BIOS,0.0,0.0
RT The 2019 DELLXPS 13 has perfected its formula Digital Trends,0.0,0.0
Dell Gaming Laptop G5587 5859BLK PUS G5 15 6 LED Anti Glare Display 8th Gen Intel i5 Processor 8GB Memory,0.0,0.0
RT Pristine Clean UK Used DELL INSPIRON 13 laptop is currently available Intel Core i5 256gb SSD 8GB RAM 13 inches,0.38333333333333336,0.55
RT Pristine Clean UK Used DELL INSPIRON 13 laptop is currently available Intel Core i5 256gb SSD 8GB RAM 13 inches,0.38333333333333336,0.55
Good luck Have the same issue with my most demanding User my wife Latitude 5590 WD19 do,0.5,0.4083333333333334
Very disappointing to see increase in price of laptop by 3000 in just two days Moreover offer,-0.78,0.9099999999999999
Gaming Laptop Dell Inspiron 15 5000 Gaming Model 15 5577 Intel Core i5 7th Generation Processor 8Gb Ra,0.0,0.0
I dropped my laptop in the ocean So now theres a dell rolling in the deep,0.0,0.4
RT I found an old usb from when i was in like 8th 9th grade with a buncha songs i made Theyre much weirder than i remem,0.15000000000000002,0.2
Hello Why do two original batteries and adapters bought directly from Dell creates a msg stating they a,0.2375,0.575
Don t need help I m fixing it I m a system administrator at a business that buys your equipment You guys,0.0,0.0
jjf best bang for your buck,1.0,0.3
Frieza hey Jamie check out this budget gaming laptop Thats the one im getting its inside your budget,0.0,0.0
DELL LAPTOP LATiTUDE WINDOWS 10 CORE 2 DUO 4GB RAM WIN DVD WIFI PC HD COMPUTER 12805 Watch Count,0.8,0.4
Running Command Update on my Dell laptop with one of their thunderbolt docks shouldn t blue screen my machine fail,-0.25,0.19999999999999996
